,kl_18_101,kl_101_18,kl_18_50,kl_50_18,ent_18,ent_50,ent_101,ce_18_101,ce_101_18,ce_18_50,ce_50_18,nll_18,nll_101,brier_18,brier_101
0,-7.900483467386147e-12,1.1204698056712045e-06,1.8185814484679992e-12,8.579978787772876e-13,2.506616761084233e-11,9.442141021320206e-12,9.472810668420488e-07,1.7165684143456183e-11,2.0677508725132533e-06,2.6884749059310317e-11,1.0300138900097496e-11,-0.0,-0.0,0.0,2.4424906541753444e-15
1,3.547897380471531e-11,7.454452550591252e-10,2.1682026708208993e-12,5.204937357089563e-11,2.779484414578517e-10,3.517316605036865e-10,1.1203213693810336e-09,3.1342741526256696e-10,1.865766624440159e-09,2.8011664412867256e-10,4.0378103407458216e-10,-0.0,-0.0,0.0,0.0
2,5.061039035287351e-08,-4.9807042556043445e-12,4.956210561220145e-08,1.3037371647578958e-09,1.1051436809700378e-07,7.3689731244221645e-09,9.815890388339803e-10,1.6112475844987725e-07,9.766083345783765e-10,1.6007647370920526e-07,8.672710289180059e-09,-0.0,-0.0,0.0,0.0
3,-9.51653994027534e-12,3.6057004324889378e-09,1.7141846848600485e-11,3.044613387299892e-10,1.6667669076729465e-10,1.5913493224651229e-09,1.3024214573416045e-08,1.571601508270194e-10,1.6629915005904984e-08,1.8381853761589513e-10,1.895810661195112e-09,-0.0,-0.0,0.0,0.0
4,-2.2199727702436337e-16,9.554960606336021e-11,8.771140755346577e-16,5.698214242509221e-19,2.6776478163284493e-15,7.550249983951739e-18,1.115169273443194e-10,2.4556505393040853e-15,2.0706653340767956e-10,3.554761891863105e-15,8.120071408202661e-18,-0.0,-0.0,0.0,0.0
5,2.6054772067294283e-10,1.2441697488520442e-12,8.401553591935172e-10,-2.228951394371719e-18,7.104146184717448e-10,6.3958937328438495e-18,9.24086972004996e-12,9.709623391446876e-10,1.0485039468902003e-11,1.550569977665262e-09,4.1669423384721306e-18,-0.0,-0.0,0.0,0.0
6,-5.830196530734143e-12,6.7581851831152605e-09,-3.724752753095823e-12,1.0167196653512497e-09,3.246214438955748e-11,3.44322028736347e-09,2.0078245243078995e-08,2.6631947858823327e-11,2.6836430426194253e-08,2.873739163646165e-11,4.4599399527147205e-09,-0.0,-0.0,0.0,0.0
7,-3.7656539025304607e-19,4.4951825131015096e-09,-3.514677160201062e-19,3.1682640025037614e-12,1.3230095953662482e-18,4.772454283155294e-12,2.9721066188550317e-09,9.464442051132022e-19,7.467289131956543e-09,9.71541879346142e-19,7.940718285659057e-12,-0.0,-0.0,0.0,0.0
8,6.720309629372099e-09,-4.22595550740425e-10,2.3616468768461795e-08,-7.402418346092434e-11,8.04223314492807e-08,3.7372027329253555e-10,3.132664523712261e-08,8.714264107865284e-08,3.0904049686382166e-08,1.0403880021774255e-07,2.996960898316114e-10,-0.0,-0.0,0.0,0.0
9,1.0244693508406415e-11,2.834845364449048e-07,1.0156871569516576e-10,4.123041908075776e-11,4.090818489140845e-10,1.781468442171098e-10,3.3605552940944947e-07,4.193265424224909e-10,6.195400658543543e-07,5.106505646092502e-10,2.193772632978675e-10,-0.0,-0.0,0.0,4.440892098500626e-16
10,0.00044057188941676187,5.5184735154499687e-05,0.0006009323822564013,5.522118322673699e-05,0.0006618543998357297,4.0434159250259657e-07,4.609751396465282e-07,0.0011024262892524914,5.564571029417752e-05,0.0012627867820921308,5.562552481927091e-05,5.5301529101353494e-05,-0.0,4.4861373504900826e-09,0.0
11,-7.878858468703185e-09,2.156403896176747e-07,-7.829696432259892e-09,3.5038335174504523e-07,7.779406056503369e-08,1.488418045778311e-06,1.134865806267833e-06,6.991520209633051e-08,1.3505061958855053e-06,6.996436413277379e-08,1.8388013975233558e-06,-0.0,-0.0,0.0,1.9984014443252818e-15
12,-4.365650674857902e-13,6.943544572376705e-10,9.999932189373363e-08,8.471736896431799e-07,4.039966283045132e-12,1.1722547300399061e-06,1.582606138771387e-09,3.603401215559343e-12,2.276960596009057e-09,1.0000336175698814e-07,2.019428419683086e-06,-0.0,-0.0,0.0,0.0
13,1.627747286697826e-09,6.601909755143232e-10,1.3094569382523363e-09,-3.631045507177534e-11,8.810637267378235e-09,2.3332654396071063e-09,4.9631506174273285e-09,1.0438384554076063e-08,5.623341592941654e-09,1.0120094205630576e-08,2.2969549845353307e-09,-0.0,-0.0,0.0,0.0
14,3.368474593979889e-12,8.225143360051327e-10,1.1556923592803562e-11,2.0750607098840084e-11,4.269542726608437e-11,9.470618101458764e-11,1.6596732420321246e-09,4.606390186006426e-11,2.482187578037259e-09,5.4252350858887925e-11,1.1545678811342769e-10,-0.0,-0.0,0.0,0.0
15,1.1292444794453073e-06,-3.091991200278089e-12,5.068516562376471e-07,1.0401503314721808e-06,9.486455419282454e-07,2.3628700258995078e-06,1.636910292359346e-11,2.077890021373553e-06,1.3277111723315368e-11,1.4554971980628633e-06,3.403020357371688e-06,-0.0,-0.0,2.220446049250313e-15,0.0
