,kl_18_101,kl_101_18,kl_18_50,kl_50_18,ent_18,ent_50,ent_101,ce_18_101,ce_101_18,ce_18_50,ce_50_18,nll_18,nll_101,brier_18,brier_101
0,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
1,0.00010250007812556907,0.00021867757571007997,0.0001,0.0001,1e-05,1e-05,0.00015449151822936113,1.3334967320107747e-05,0.000271011798757032,1e-05,1e-05,-0.0,1.2500078125621915e-05,8.881784197001252e-16,3.1092939334342873e-10
2,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2.400000287847015e-07,-0.0,1.3988810110276972e-13,0.0
3,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,2.400000287847015e-07,0.0,1.141309269314661e-13
4,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
5,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
6,0.00010313008619930957,0.00024619433918016267,0.0001,0.00011256977011823901,1e-05,7.606084062615714e-05,0.00016147049513730384,1.6577754625059645e-05,0.00030452083691662413,1e-05,9.32161672462389e-05,1.0000000494736474e-07,1.3230087517197108e-05,2.653433028854124e-14,3.4856229014224027e-10
7,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
8,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,1.9984014443252818e-15
9,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,2.220446049250313e-16
10,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
11,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.0000000494736474e-07,-0.0,1.887379141862766e-14,0.0
12,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,6.661338147750939e-16
13,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
14,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
15,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,2.400000287847015e-07,0.0,1.0880185641326534e-13
16,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
17,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
18,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
19,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,8.881784197001252e-16
20,0.0001,0.0001,0.00010201829261395246,0.0001,1.609735441768463e-05,1e-05,1e-05,2.0206063398251648e-05,1e-05,2.733056907004686e-05,1e-05,1.1000006049765637e-06,-0.0,2.3023805084676496e-12,8.881784197001252e-16
21,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.2087478349131321e-05,-0.0,-0.0,0.0,6.661338147750939e-16
22,0.0001234005577922907,0.00046912973031355343,0.0001,0.0001,1e-05,2.9108106261982977e-05,0.0003795249874575155,3.3662792015944206e-05,0.0007276444510563532,1e-05,3.8749059066828635e-05,-0.0,3.340055779238145e-05,0.0,2.1963508789468733e-09
23,0.0001678703366190752,0.0001,0.00018815572057596182,0.0001,6.149411987992374e-05,1e-05,1e-05,0.0001347506861871239,1e-05,0.00015508372029473418,1e-05,4.650010811333962e-06,-0.0,4.2975178971005334e-11,0.0
24,0.02924279429560773,0.1762204934412541,0.20577352310552335,2.5956874710760642,0.005069133303971444,0.6401414090544243,0.1522514520369254,0.03204918238268771,0.3001472651508551,0.20824272720223094,3.0683945896238876,0.0006022813349965707,0.02977263910301646,7.246816557948677e-07,0.0013928356991509405
25,6.274536649705932,8.370091392855803,11.205287085753833,8.387614028272177,0.0021375728864319685,0.00017147403741655032,0.013683448601572348,6.274675095435743,8.371881779803369,11.205425059269048,8.38754449165723,8.387654985961932,0.001882470736742988,1.9990895226047298,7.0741240368876745e-06
26,0.00011940043218882985,0.0004662775236699298,0.00011010020200780269,0.0003453503148271316,1e-05,0.00024448881722569646,0.00034375939000173925,3.6933228776293184e-05,0.0006920485682343541,2.8188908933575973e-05,0.00047970275048687575,5.000001249589083e-07,2.9900447013937627e-05,3.5993430458347575e-13,1.7683633446452518e-09
27,0.0001,0.0001,0.0001,0.00010296761625615356,1e-05,1.1129376709130903e-05,1e-05,1e-05,1e-05,1e-05,2.4137301485576416e-05,-0.0,-0.0,0.0,0.0
28,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
29,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
30,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1.5006057848368753e-05,1e-05,2.4412599574149172e-05,1e-05,1e-05,-0.0,1.1000006049765637e-06,0.0,1.850297692840286e-12
31,0.0001,0.0001,0.0001,0.0001,1e-05,1.211745173153984e-05,1e-05,1e-05,1e-05,1e-05,1.8842451307599846e-05,-0.0,1.0000000494736474e-07,0.0,1.6431300764452317e-14
32,0.0016381978400316969,0.018159363121063397,0.0003137250245770106,0.0022701833667636622,1e-05,0.002103899977779425,0.011557220421936793,0.0015482839581642943,0.028081132955857784,0.00022383609035164773,0.004060455011556286,-0.0,0.0015481978400317094,2.220446049250313e-16,4.786232673303914e-06
33,5.360538231245697,1.2170093094350103,0.49137851030812024,1.0804071051548616,0.9822362756507432,1.3940250844919218,0.8207700714544621,6.143655277742002,1.9088826323855446,1.3666006136072415,2.295227321466328,0.7204068316761919,1.112039015088199,0.4346327738361643,0.8428797232243701
34,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
35,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,2.220446049250313e-16,0.0
36,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,4.440892098500626e-16
37,0.0001972262905209552,0.00010276008140951766,0.0002306973885519564,0.00010276008140951766,0.0001571160006255955,1e-05,1e-05,0.00025158212233490797,1.3644318060297543e-05,0.00028505354731218706,1.2894234056411705e-05,1.2760081409437561e-05,-0.0,3.2703073582496245e-10,8.881784197001252e-16
38,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.2615114152287399e-05,-0.0,3.6000006483257204e-07,0.0,3.0253577421035516e-13
39,0.0007950785211783317,0.0024485472256397245,1.8328558650948261,8.336417038610755,0.0005379157019533818,0.4432652358411648,0.006679100500330144,0.0011282591296750183,0.008342787383040288,1.8328769969008498,8.486484766965495,4.720111395507759e-05,0.0007523129164104427,3.940920922929081e-09,8.517450100775648e-07
40,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
41,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,4.440892098500626e-16,0.0
42,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
43,0.0001,0.00010294471041349169,0.0001,0.00011009283481792402,1e-05,4.234103201690596e-05,2.9214750606247827e-05,1e-05,4.0534218442192234e-05,1e-05,5.980198348683312e-05,3.6000006483257204e-07,2.0000019999491555e-06,2.710054403110007e-13,8.263612016889965e-12
44,0.1197657806081404,0.010738140771572773,0.06462230189889638,0.01071354189202066,0.05870776535159121,0.00028696232680360743,1e-05,0.16784965114215836,0.010648981039892817,0.11273186853123701,0.010769480800597699,0.010648241836391846,1.0000000494736474e-07,0.00022436285861882066,2.731148640577885e-14
45,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,2.220446049250313e-16
46,0.014504836380979458,0.1593653544471714,3.179487798506898,14.449484386891289,1e-05,0.1856955522960063,0.08315414747370825,0.014416888175330937,0.2282776451887889,3.1793986522219364,14.502835185833538,3.6000006483257204e-07,0.014415201570387224,2.0394796962364126e-13,0.0003520444878064577
47,0.0003491345674195042,0.00011193024046598017,0.0001774155768475683,0.00011157023263581621,0.0002570898966491846,1e-05,1e-05,0.0004943089892539185,2.193206535103437e-05,0.00032293916693203775,2.635914356197554e-05,2.1930240465913442e-05,-0.0,9.612023399441227e-10,0.0
48,0.004215568252533063,0.0029318063327582133,0.01519978171620979,0.0026067043210266593,0.019157009527644625,0.0002789672710731971,0.009089651970029148,0.021737491580343608,0.011192511044819943,0.0317953271928684,0.0026890085532061945,0.0025407249097524703,0.0010174173935930905,1.097102181013554e-05,1.5328362162891906e-06
49,0.0001,0.0001,0.0001,0.0001,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,-0.0,-0.0,0.0,0.0
